Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[16/16000]	[MSE: 5562.4307]	3.4+0.4s
[32/16000]	[MSE: 3432.5762]	3.3+0.0s
[48/16000]	[MSE: 2866.0603]	3.3+0.1s
[64/16000]	[MSE: 2537.5688]	3.3+0.1s
[80/16000]	[MSE: 2144.7935]	3.3+0.1s
[96/16000]	[MSE: 1877.0087]	3.3+0.1s
[112/16000]	[MSE: 1722.7849]	3.3+0.1s
[128/16000]	[MSE: 1648.9866]	3.3+0.1s
[144/16000]	[MSE: 1550.7789]	3.3+0.1s
[160/16000]	[MSE: 1435.0881]	3.3+0.1s
[176/16000]	[MSE: 1336.2920]	3.3+0.1s
[192/16000]	[MSE: 1257.5228]	3.3+0.1s
[208/16000]	[MSE: 1188.3258]	3.3+0.1s
[224/16000]	[MSE: 1139.6899]	3.3+0.1s
[240/16000]	[MSE: 1085.2437]	3.3+0.1s
[256/16000]	[MSE: 1036.6840]	3.3+0.1s
[272/16000]	[MSE: 987.7950]	3.3+0.1s
[288/16000]	[MSE: 952.5135]	3.3+0.1s
[304/16000]	[MSE: 925.3408]	3.3+0.1s
[320/16000]	[MSE: 899.2313]	3.3+0.1s
[336/16000]	[MSE: 873.3727]	3.3+0.1s
[352/16000]	[MSE: 848.7750]	3.3+0.1s
[368/16000]	[MSE: 821.7762]	3.3+0.1s
[384/16000]	[MSE: 795.4873]	3.3+0.1s
[400/16000]	[MSE: 772.7703]	3.3+0.1s
[416/16000]	[MSE: 750.3623]	3.3+0.1s
[432/16000]	[MSE: 730.0778]	3.3+0.1s
[448/16000]	[MSE: 711.0634]	3.3+0.1s
[464/16000]	[MSE: 693.4601]	3.3+0.1s
[480/16000]	[MSE: 679.0005]	3.3+0.1s
[496/16000]	[MSE: 663.4630]	3.3+0.1s
[512/16000]	[MSE: 648.5380]	3.3+0.1s
[528/16000]	[MSE: 636.7545]	3.3+0.1s
[544/16000]	[MSE: 622.6019]	3.3+0.1s
[560/16000]	[MSE: 608.7885]	3.3+0.1s
[576/16000]	[MSE: 596.5000]	3.3+0.1s
[592/16000]	[MSE: 584.4610]	3.3+0.1s
[608/16000]	[MSE: 572.3417]	3.3+0.1s
[624/16000]	[MSE: 561.8308]	3.3+0.1s
[640/16000]	[MSE: 553.6836]	3.3+0.1s
[656/16000]	[MSE: 546.7535]	3.3+0.1s
[672/16000]	[MSE: 537.2703]	3.3+0.1s
[688/16000]	[MSE: 527.5085]	3.3+0.1s
[704/16000]	[MSE: 518.4171]	3.3+0.1s
[720/16000]	[MSE: 510.0536]	3.3+0.1s
[736/16000]	[MSE: 501.2520]	3.3+0.1s
[752/16000]	[MSE: 493.4429]	3.3+0.1s
[768/16000]	[MSE: 488.0256]	3.3+0.1s
[784/16000]	[MSE: 481.9184]	3.3+0.1s
[800/16000]	[MSE: 475.3009]	3.3+0.1s
[816/16000]	[MSE: 468.3142]	3.3+0.1s
[832/16000]	[MSE: 461.5871]	3.3+0.1s
[848/16000]	[MSE: 454.8404]	3.3+0.1s
[864/16000]	[MSE: 448.7541]	3.3+0.1s
[880/16000]	[MSE: 442.7863]	3.3+0.1s
[896/16000]	[MSE: 437.0713]	3.3+0.1s
[912/16000]	[MSE: 431.9569]	3.3+0.1s
[928/16000]	[MSE: 426.5506]	3.3+0.1s
[944/16000]	[MSE: 422.0552]	3.3+0.1s
[960/16000]	[MSE: 417.0947]	3.3+0.1s
[976/16000]	[MSE: 411.7562]	3.3+0.1s
[992/16000]	[MSE: 406.5457]	3.3+0.1s
[1008/16000]	[MSE: 403.1501]	3.3+0.1s
[1024/16000]	[MSE: 399.0006]	3.3+0.1s
[1040/16000]	[MSE: 394.8769]	3.3+0.1s
[1056/16000]	[MSE: 391.6281]	3.3+0.1s
[1072/16000]	[MSE: 386.9388]	3.3+0.1s
[1088/16000]	[MSE: 383.4135]	3.3+0.1s
[1104/16000]	[MSE: 379.2662]	3.3+0.1s
[1120/16000]	[MSE: 376.2866]	3.3+0.1s
[1136/16000]	[MSE: 373.2217]	3.3+0.1s
[1152/16000]	[MSE: 369.2230]	3.3+0.1s
[1168/16000]	[MSE: 365.9825]	3.3+0.1s
[1184/16000]	[MSE: 363.3974]	3.3+0.1s
[1200/16000]	[MSE: 360.0767]	3.3+0.1s
[1216/16000]	[MSE: 357.3833]	3.3+0.1s
[1232/16000]	[MSE: 354.5963]	3.3+0.1s
[1248/16000]	[MSE: 351.0276]	3.3+0.1s
[1264/16000]	[MSE: 347.9964]	3.3+0.1s
[1280/16000]	[MSE: 345.0540]	3.3+0.1s
[1296/16000]	[MSE: 342.0990]	3.3+0.1s
[1312/16000]	[MSE: 339.0750]	3.3+0.1s
[1328/16000]	[MSE: 336.1918]	3.3+0.1s
[1344/16000]	[MSE: 333.4571]	3.3+0.1s
[1360/16000]	[MSE: 330.4210]	3.3+0.1s
[1376/16000]	[MSE: 327.4983]	3.3+0.1s
[1392/16000]	[MSE: 325.2444]	3.3+0.1s
[1408/16000]	[MSE: 322.8959]	3.3+0.1s
[1424/16000]	[MSE: 320.2681]	3.3+0.1s
