Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
  0%|                                                    | 0/10 [00:00<?, ?it/s][160/16000]	[MSE: 1327.0312]	33.3+9.2s
[320/16000]	[MSE: 843.4164]	32.7+0.8s
[480/16000]	[MSE: 642.7668]	32.7+0.8s
[640/16000]	[MSE: 528.5327]	32.7+0.8s
[800/16000]	[MSE: 453.0230]	32.7+0.8s
[960/16000]	[MSE: 397.3222]	32.7+0.8s
[1120/16000]	[MSE: 357.6453]	32.7+0.8s
[1280/16000]	[MSE: 327.3609]	32.7+0.8s
[1440/16000]	[MSE: 302.5377]	32.7+0.8s
[1600/16000]	[MSE: 282.6093]	32.7+0.8s
[1760/16000]	[MSE: 265.8217]	32.7+0.8s
[1920/16000]	[MSE: 249.9429]	32.7+0.8s
[2080/16000]	[MSE: 237.9479]	32.7+0.8s
[2240/16000]	[MSE: 227.6949]	32.7+0.8s
[2400/16000]	[MSE: 218.4818]	32.7+0.8s
[2560/16000]	[MSE: 210.0396]	32.7+0.8s
[2720/16000]	[MSE: 201.6237]	32.7+0.8s
[2880/16000]	[MSE: 196.0647]	32.7+0.8s
[3040/16000]	[MSE: 190.3468]	32.7+0.8s
[3200/16000]	[MSE: 184.9348]	32.7+0.8s
[3360/16000]	[MSE: 180.2099]	32.7+0.8s
[3520/16000]	[MSE: 175.7613]	32.7+0.8s
[3680/16000]	[MSE: 172.4803]	32.7+0.8s
[3840/16000]	[MSE: 168.6931]	32.7+0.8s
[4000/16000]	[MSE: 166.0745]	32.7+0.8s
[4160/16000]	[MSE: 162.8218]	32.7+0.8s
[4320/16000]	[MSE: 159.6090]	32.7+0.8s
[4480/16000]	[MSE: 156.8240]	32.7+0.8s
[4640/16000]	[MSE: 154.6921]	32.7+0.8s
[4800/16000]	[MSE: 151.6920]	32.7+0.8s
[4960/16000]	[MSE: 149.4377]	32.7+0.8s
[5120/16000]	[MSE: 147.6369]	32.7+0.8s
[5280/16000]	[MSE: 145.8169]	32.7+0.8s
[5440/16000]	[MSE: 144.2669]	32.7+0.8s
[5600/16000]	[MSE: 142.2834]	32.7+0.8s
[5760/16000]	[MSE: 140.5248]	32.7+0.8s
[5920/16000]	[MSE: 138.8232]	32.7+0.8s
[6080/16000]	[MSE: 137.1189]	32.7+0.8s
[6240/16000]	[MSE: 135.9388]	32.7+0.8s
[6400/16000]	[MSE: 134.6355]	32.7+0.8s
[6560/16000]	[MSE: 132.9256]	32.7+0.8s
[6720/16000]	[MSE: 131.6614]	32.7+0.8s
[6880/16000]	[MSE: 130.2900]	32.7+0.8s
[7040/16000]	[MSE: 128.6881]	32.7+0.8s
[7200/16000]	[MSE: 127.5495]	32.7+0.8s
[7360/16000]	[MSE: 126.8757]	32.7+0.8s
[7520/16000]	[MSE: 125.5429]	32.7+0.8s
[7680/16000]	[MSE: 124.8743]	32.7+0.8s
[7840/16000]	[MSE: 123.7548]	32.7+0.8s
[8000/16000]	[MSE: 122.5470]	32.7+0.8s
[8160/16000]	[MSE: 121.5408]	32.7+0.8s
[8320/16000]	[MSE: 120.6161]	32.7+0.8s
[8480/16000]	[MSE: 119.9200]	32.7+0.8s
[8640/16000]	[MSE: 118.9695]	32.7+0.8s
