Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
  0%|                                                    | 0/10 [00:00<?, ?it/s][40/8000]	[MSE: 1862.6877]	53.1+1.4s
[80/8000]	[MSE: 1305.2883]	53.7+2.0s
[120/8000]	[MSE: 1011.5713]	53.8+2.0s
[160/8000]	[MSE: 845.4847]	53.7+2.0s
[200/8000]	[MSE: 733.2668]	53.7+2.0s
[240/8000]	[MSE: 660.0175]	53.7+2.0s
[280/8000]	[MSE: 594.6149]	53.8+2.0s
[320/8000]	[MSE: 546.6124]	53.8+2.0s
[360/8000]	[MSE: 506.7904]	53.8+2.0s
[400/8000]	[MSE: 473.4324]	53.8+2.0s
[440/8000]	[MSE: 447.3578]	53.8+2.0s
[480/8000]	[MSE: 421.7142]	53.8+2.0s
[520/8000]	[MSE: 398.9227]	53.8+2.0s
[560/8000]	[MSE: 378.0261]	53.8+2.0s
[600/8000]	[MSE: 360.0935]	53.8+2.0s
[640/8000]	[MSE: 343.2303]	53.8+2.0s
[680/8000]	[MSE: 329.7580]	53.8+2.0s
[720/8000]	[MSE: 318.0371]	53.8+2.0s
[760/8000]	[MSE: 307.3129]	53.8+2.0s
[800/8000]	[MSE: 297.8994]	53.8+2.0s
[840/8000]	[MSE: 288.3470]	53.8+2.0s
[880/8000]	[MSE: 279.0128]	53.8+2.0s
[920/8000]	[MSE: 271.8828]	53.8+2.0s
[960/8000]	[MSE: 265.0209]	53.8+2.0s
[1000/8000]	[MSE: 258.7007]	53.8+2.0s
[1040/8000]	[MSE: 251.7404]	53.7+2.0s
[1080/8000]	[MSE: 247.5580]	53.8+2.0s
[1120/8000]	[MSE: 242.4089]	53.8+2.0s
[1160/8000]	[MSE: 236.9188]	53.8+2.0s
[1200/8000]	[MSE: 231.3230]	53.8+2.0s
[1240/8000]	[MSE: 226.6355]	53.8+2.0s
[1280/8000]	[MSE: 221.4672]	53.8+2.0s
[1320/8000]	[MSE: 216.7846]	53.8+2.0s
[1360/8000]	[MSE: 212.5993]	53.8+2.0s
[1400/8000]	[MSE: 208.5505]	53.8+2.0s
[1440/8000]	[MSE: 204.8170]	53.8+2.0s
[1480/8000]	[MSE: 202.2350]	53.8+2.0s
[1520/8000]	[MSE: 198.5626]	53.8+2.0s
[1560/8000]	[MSE: 195.5880]	53.8+2.0s
[1600/8000]	[MSE: 193.0512]	53.8+2.0s
[1640/8000]	[MSE: 190.8379]	53.8+2.0s
[1680/8000]	[MSE: 188.1141]	53.8+2.0s
[1720/8000]	[MSE: 185.5313]	53.8+2.0s
[1760/8000]	[MSE: 182.7713]	53.8+2.0s
[1800/8000]	[MSE: 180.7508]	53.8+2.0s
[1840/8000]	[MSE: 179.6496]	53.8+2.0s
[1880/8000]	[MSE: 177.2954]	53.7+2.0s
[1920/8000]	[MSE: 175.8633]	53.8+2.0s
[1960/8000]	[MSE: 175.1560]	53.8+2.0s
[2000/8000]	[MSE: 173.4399]	53.8+2.0s
[2040/8000]	[MSE: 171.7483]	53.8+2.0s
[2080/8000]	[MSE: 170.3851]	53.8+2.0s
[2120/8000]	[MSE: 168.2983]	53.8+2.0s
[2160/8000]	[MSE: 167.4708]	53.8+2.0s
[2200/8000]	[MSE: 166.3833]	53.8+2.0s
[2240/8000]	[MSE: 164.4775]	53.8+2.0s
[2280/8000]	[MSE: 162.8549]	53.8+2.0s
[2320/8000]	[MSE: 160.9914]	53.8+2.0s
[2360/8000]	[MSE: 159.1269]	53.8+2.0s
[2400/8000]	[MSE: 157.3511]	53.8+2.0s
[2440/8000]	[MSE: 156.4003]	53.8+2.0s
[2480/8000]	[MSE: 155.8287]	53.8+2.0s
[2520/8000]	[MSE: 154.9018]	53.7+2.0s
[2560/8000]	[MSE: 154.0567]	53.7+2.0s
[2600/8000]	[MSE: 153.1796]	53.8+2.0s
[2640/8000]	[MSE: 152.1700]	53.8+2.0s
[2680/8000]	[MSE: 150.6342]	54.1+2.0s
[2720/8000]	[MSE: 149.9824]	53.8+2.0s
[2760/8000]	[MSE: 148.5475]	53.8+2.0s
[2800/8000]	[MSE: 147.4395]	53.7+2.0s
[2840/8000]	[MSE: 146.5107]	53.8+2.0s
[2880/8000]	[MSE: 146.1524]	53.7+2.0s
[2920/8000]	[MSE: 145.0445]	53.8+2.0s
[2960/8000]	[MSE: 144.1459]	53.7+2.0s
[3000/8000]	[MSE: 143.1726]	53.7+2.0s
[3040/8000]	[MSE: 142.9226]	53.7+2.0s
[3080/8000]	[MSE: 141.7174]	53.7+2.0s
[3120/8000]	[MSE: 140.7477]	53.8+2.0s
